68,7,0,0,0,0,0,0,38,10,0,0,0,0,0,0,28,24,8,0,0,0,0,0,157,262,216,62,12,2,0,2,230,473,186,21,12,8,5,0,31,50,39,11,11,8,8,25,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
9,49,49,3,1,0,0,0,85,366,904,42,0,0,0,0,14,4,3,1,1,0,0,0,18,1,1,1,0,0,0,0,4,4,0,2,3,2,0,0,7,28,105,69,30,13,8,0,5,37,32,15,16,28,25,1,3,8,13,9,6,0,0,0
190,15,0,0,0,0,0,0,64,1,0,0,0,0,0,0,11,0,0,0,0,0,0,1,54,11,2,0,0,1,0,0,34,49,59,76,87,79,199,167,64,124,74,90,78,73,123,132,65,3,2,1,0,1,0,0,94,0,0,0,0,0,0,1
535,23,38,41,29,17,9,11,215,7,2,6,2,0,1,3,117,0,0,1,0,0,0,1,313,109,4,1,0,3,0,1,60,71,87,52,54,41,12,4,35,29,11,9,5,7,2,8,18,3,2,2,0,1,0,0,13,3,1,0,0,2,2,2
443,47,7,3,4,3,0,2,27,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,19,33,99,66,8,7,8,3,89,166,338,178,51,8,2,3,86,12,2,1,0,0,0,0,258,22,3,1,0,0,0,0
129,230,651,367,148,29,0,0,20,7,1,1,0,0,0,0,4,0,0,0,0,0,0,0,21,4,0,0,2,0,0,0,61,105,77,26,6,0,0,0,34,8,1,0,0,0,0,0,12,6,0,0,0,0,0,0,37,21,9,8,0,0,0,0
2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,154,1019,837,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
983,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,284,11,4,2,1,0,0,0,309,49,73,165,58,3,0,0,9,5,2,1,8,12,0,0,14,3,0,0,0,0,0,1,9,2,0,0,0,1,0,0
226,6,2,3,1,1,0,0,17,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,64,8,0,4,0,0,0,0,210,154,72,19,2,2,0,0,337,75,24,9,2,0,0,1,213,15,3,7,3,1,2,0,445,49,21,14,4,1,1,0
2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,2,0,0,0,0,0,4,6,0,0,0,0,0,0,6,6,2,1,0,0,0,0,255,18,8,1,1,1,0,0,935,170,241,158,53,7,1,0,33,19,16,40,14,2,1,0,8,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,83,60,50,12,5,5,15,37,8,4,8,0,0,1,2,14,1,1,3,1,0,0,2,45,49,35,45,29,38,36,126,69,31,88,125,139,126,89,227,13,7,5,6,0,2,2,7,10,3,3,4,0,0,0,5,19,1,1,0,1,1,1,4
4,0,2,3,1,24,12,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,11,21,32,63,235,251,776,0,0,0,7,61,83,54,6,0,0,2,15,28,14,1,1,0,1,1,16,96,88,58,20
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,7,6,26,96,438,1045,1,2,0,5,32,34,72,212,4,0,0,0,3,2,4,5,8,0,0,0,1,1,1,6
196,205,0,0,0,0,0,0,192,17,10,0,0,0,0,0,77,4,8,2,1,1,3,6,364,86,20,6,2,7,7,2,23,51,25,26,13,26,46,23,13,24,33,33,24,9,67,367,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,5,3,3,4,24,77,493,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,14,9,31,669,155,29,17,8,6,4,15,8,0,0,0,0,6,2,9,9,0,0,0,0,1,18,29,63,89,135,52,13
284,27,60,97,89,100,78,152,7,12,13,10,6,12,7,14,2,6,2,6,0,3,0,1,18,10,5,3,3,2,0,5,5,15,32,87,147,151,126,200,1,6,9,12,8,6,12,10,2,5,6,5,3,2,3,3,4,17,24,29,24,10,12,15
0,10,132,106,118,138,84,1435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
16,54,94,4,0,0,0,0,65,137,34,0,0,0,0,0,52,17,8,0,0,0,0,0,70,66,30,12,1,2,1,0,37,226,289,306,288,74,44,8,11,7,9,20,19,10,6,1,0,2,0,0,0,0,0,0,3,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,0,2,1,2,32,160,400,392,278,150,35,2,4,17,114,148,140,119,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,15,25,26,54,49,70,63,4,12,19,41,48,78,110,70,6,10,44,87,74,57,27,8,7,28,60,116,56,2,0,0,3,26,72,156,207,41,0,0,7,20,74,82,15,0,0,0,4,10,4,1,0,0,0,0,6,16,8,3,2,0,0,0
5,2,1,10,12,62,418,967,0,7,50,51,65,25,50,50,1,21,24,7,6,1,0,2,1,31,33,12,0,1,0,0,0,4,21,11,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,4,19,42
171,53,49,109,147,30,0,0,337,108,33,20,3,0,0,0,91,81,18,3,3,1,0,0,458,97,15,5,0,3,0,0,27,32,20,13,13,1,1,0,9,6,7,6,3,3,6,31,5,1,0,1,0,0,0,0,1,1,3,0,0,0,0,0
22,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,25,17,15,25,16,14,18,23,3,204,129,14,2,1,4,24,25,66,95,49,20,66,450,669,10,6,5,0,0,0,0,0,3,0,0,0,0,0,0,0
74,83,30,9,0,0,0,0,168,472,304,103,16,2,0,0,135,121,50,7,1,0,0,0,168,53,3,1,0,0,0,0,114,61,1,0,0,0,0,0,30,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,13,14,17,25,77,111,52,129,0,745,572,131,48,25,25,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,298,88,28,3,11,1,12,33,15,3,1,0,0,0,0,15,5,0,0,0,0,0,0,126,13,1,2,0,0,0,0,53,47,28,74,173,156,42,0,42,29,29,64,51,34,8,6,27,6,3,1,0,1,0,0,75,67,35,13,3,1,0,1
836,2,0,0,0,4,2,1,4,1,0,0,1,0,0,0,3,2,0,3,0,1,0,0,79,28,14,26,27,76,121,707,4,0,1,0,0,9,19,39,4,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1
43,270,79,1,1,1,1,1,3,8,4,5,0,0,0,0,7,28,57,31,9,3,1,0,7,77,157,142,94,41,15,3,5,17,31,23,74,68,1,0,17,150,50,4,0,0,0,0,49,136,0,1,0,0,0,0,44,261,0,3,2,0,0,0
7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,73,102,144,28,5,0,0,1,37,58,108,182,168,147,121,223,7,5,2,6,6,15,62,497,7,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
363,32,18,48,65,69,51,109,43,6,5,9,2,2,1,16,94,4,1,8,2,2,0,12,52,29,15,37,27,70,101,188,10,33,27,36,37,34,52,90,13,1,4,5,0,4,8,68,25,0,2,1,0,1,0,7,50,6,2,5,0,7,6,10
532,130,64,37,47,67,23,74,66,30,11,14,6,5,2,10,31,10,13,15,3,11,11,39,63,12,51,80,40,24,32,35,21,4,11,4,10,6,14,17,19,6,4,8,2,9,12,103,11,3,5,3,5,5,2,20,28,16,10,16,7,17,12,27
236,23,17,11,1,2,0,1,37,8,7,4,1,1,0,0,18,10,3,1,1,0,0,0,96,57,53,43,18,18,4,6,245,291,211,256,116,12,7,5,50,19,18,17,9,2,2,2,21,9,4,2,0,1,1,0,22,12,4,3,5,1,1,0
89,161,235,306,34,10,9,2,37,24,4,0,0,1,1,0,15,4,0,0,0,0,0,0,25,11,1,2,4,1,0,1,38,73,36,30,13,16,8,1,13,33,41,47,54,27,1,0,12,18,22,18,22,13,5,0,18,37,103,174,72,65,31,7
